NodeType,Success_Ocurrences,Success_CharCount,Partial_Ocurrences,Partial_CharCount,NotSupported_Ocurrences,NotSupported_CharCount,Failed_Ocurrences,Failed_CharCount
CSGlobalAttributes,12,132,0,0,0,0,0,0
CSTypeParamConstraints,1,13,0,0,0,0,0,0
CSExprElementInit,21,0,0,0,0,0,0,0
CSExpressionStat,511,511,0,0,0,0,0,0
CSSimpleName,1236,9166,0,0,0,0,0,0
CSNewObject,125,375,0,0,5,15,0,0
CSParam,61,361,0,0,0,0,0,0
CSAttrArgName,12,92,0,0,0,0,0,0
CSClassConstraint,1,5,0,0,0,0,0,0
CSConstructor,13,220,0,0,0,0,0,0
CSExprMemberAccess,934,934,0,0,4,4,0,0
CSExprMemberInit,134,134,0,0,0,0,0,0
CSElse,4,16,0,0,0,0,0,0
ASPNetAttributeValueSection,484,7064,0,0,31,585,0,0
CSTypeParamList,1,2,0,0,0,0,0,0
CSGenericName,28,315,0,0,0,0,0,0
CSDotName,812,812,0,0,0,0,0,0
ASPNetComment,4,28,0,0,0,0,0,0
CSSingleAccess,513,4843,0,0,0,0,0,0
CSForeach,4,61,0,0,0,0,0,0
CSAliasTypeRef,122,536,0,0,0,0,0,0
CSLiteral,426,5771,0,0,0,0,0,0
CSPlus,4,4,0,0,0,0,0,0
CSInterface,1,32,0,0,0,0,0,0
CSProperty,27,419,0,0,0,0,0,0
CSTypeParam,1,7,0,0,0,0,0,0
CSAttrArgList,25,58,0,0,0,0,0,0
CSArg,216,0,0,0,0,0,0,0
CSLocalVar,43,0,0,0,0,0,0,0
CSNegate,1,1,0,0,0,0,0,0
CSInterpolatedText,5,102,0,0,0,0,0,0
CSInc,2,4,0,0,0,0,0,0
CSAttrSection,13,26,0,0,0,0,0,0
CSRegularIpString,5,15,0,0,0,0,0,0
CSAliasedName,61,488,0,0,0,0,0,0
CSMethod,81,1927,0,0,0,0,0,0
CSAttribute,25,0,0,0,0,0,0,0
CSVarInit,53,53,0,0,0,0,0,0
CSNotEql,3,6,0,0,0,0,0,0
CSGenericMemberAccess,2,16,0,0,0,0,0,0
CSIf,9,36,0,0,0,0,0,0
CSCollectionInit,3,25,0,0,0,0,0,0
ASPNetText,72,722,0,0,0,0,0,0
CSSemicolon,61,61,0,0,0,0,0,0
CSNot,3,3,0,0,0,0,0,0
CSVarDeclarator,125,1418,0,0,0,0,0,0
CSBaseInit,1,5,0,0,0,0,0,0
CSTypeBase,13,13,0,0,0,0,0,0
CSThisMemberAccess,203,203,0,0,0,0,0,0
CSExprElementAccess,9,0,0,0,0,0,0,0
CSDec,1,2,0,0,0,0,0,0
ASPNetDocument,7,560,0,0,0,0,0,0
CSThis,458,1832,0,0,0,0,0,0
CSObjectInit,24,159,0,0,0,0,0,0
CSParamList,94,204,0,0,0,0,0,0
ASPNetAttribute,490,3216,0,0,31,158,0,0
CSVar,25,75,0,0,0,0,0,0
CSIndexList,9,18,0,0,0,0,0,0
CSBlock,104,208,0,0,0,0,0,0
CSLock,1,6,0,0,0,0,0,0
CSArgList,367,760,0,0,0,0,0,0
CSGet,27,81,0,0,0,0,0,0
CSEql,5,10,0,0,0,0,0,0
CSReturn,33,231,0,0,0,0,0,0
CSAssign,368,374,0,0,0,0,0,0
CSUsingNamespace,61,366,0,0,0,0,0,0
ASPNetAttributeBindingExpressionValueSection,4,185,0,0,0,0,0,0
CSInterpolation,5,10,0,0,0,0,0,0
CSAliasMemberAccess,12,12,0,0,0,0,0,0
CSLocalVarStat,43,43,0,0,0,0,0,0
CSTypeArgList,30,60,0,0,0,0,0,0
CSTypeRef,356,0,0,0,7,0,0,0
CSCall,250,0,0,0,1,0,0,0
CSMemberAccess,1151,10228,0,0,0,0,0,0
CSCompilationUnit,29,0,0,0,0,0,0,0
CSPropBody,27,54,0,0,0,0,0,0
CSLambda,13,40,0,0,0,0,0,0
ASPNetElement,263,2356,0,0,13,273,0,0
CSNamespace,28,308,0,0,0,0,0,0
CSCast,2,4,0,0,0,0,0,0
CSAttrArg,33,0,0,0,0,0,0,0
CSMinus,1,1,0,0,0,0,0,0
CSClass,27,732,0,0,0,0,0,0
CSSet,27,109,0,0,0,0,0,0
CSConst,7,90,0,0,0,0,0,0
CSPreInc,2,4,0,0,0,0,0,0
CSField,75,723,0,0,0,0,0,0
