LibraryElement, DeclaringType, EntityKind, Count, Status
eShopLegacyWebForms.Services.CatalogServiceMock.ComposeCatalogItems.catalogTypes,eShopLegacyWebForms.Services.CatalogServiceMock.ComposeCatalogItems.catalogTypes,Type,1,1
System.Data.Entity.Database.ExecuteSqlCommand,System.Data.Entity.Database,Method,2,1
System.Data.Entity.Database.SetInitializer,System.Data.Entity.Database,Method,2,1
System.Data.Entity.Database.SqlQuery,System.Data.Entity.Database,Method,4,1
System.Data.Entity.Database,System.Data.Entity.Database,Type,1,1
eShopLegacyWebForms.LogIn.Login_Click.password,eShopLegacyWebForms.LogIn.Login_Click.password,Type,1,1
System.Collections.Generic.List`1.this[],System.Collections.Generic.List`1,Property,1,1
System.IDisposable,System.IDisposable,Type,1,1
System.Collections.Generic.List`1,System.Collections.Generic.List`1,Type,8,1
System.Collections.Generic.List`1.ForEach,System.Collections.Generic.List`1,Method,4,1
System.Collections.Generic.List`1.Remove,System.Collections.Generic.List`1,Method,2,1
System.Collections.Generic.List`1.IndexOf,System.Collections.Generic.List`1,Method,2,1
System.Collections.Generic.List`1.Add,System.Collections.Generic.List`1,Method,2,1
System.Collections.Generic.List`1..ctor,System.Collections.Generic.List`1,Method,4,1
System.IDisposable.Dispose,System.IDisposable,Method,10,1
eShopLegacyWebForms.Catalog.Details.imgPicture,eShopLegacyWebForms.Catalog.Details,Field,5,1
eShopLegacyWebForms.Catalog.Details.CatalogService,eShopLegacyWebForms.Catalog.Details,Field,3,1
eShopLegacyWebForms.Catalog.Details.lblName,eShopLegacyWebForms.Catalog.Details,Field,4,1
eShopLegacyWebForms.Catalog.Details.lblDescription,eShopLegacyWebForms.Catalog.Details,Field,5,1
eShopLegacyWebForms.Catalog.Details.lblBrand,eShopLegacyWebForms.Catalog.Details,Field,4,1
eShopLegacyWebForms.Catalog.Details.lblType,eShopLegacyWebForms.Catalog.Details,Field,4,1
eShopLegacyWebForms.Catalog.Details.lblPrice,eShopLegacyWebForms.Catalog.Details,Field,5,1
eShopLegacyWebForms.Catalog.Details.lblPictureName,eShopLegacyWebForms.Catalog.Details,Field,4,1
eShopLegacyWebForms.Catalog.Details.lblStock,eShopLegacyWebForms.Catalog.Details,Field,4,1
eShopLegacyWebForms.Catalog.Details.lblRestock,eShopLegacyWebForms.Catalog.Details,Field,4,1
eShopLegacyWebForms.Catalog.Details.lblMaxstock,eShopLegacyWebForms.Catalog.Details,Field,4,1
eShopLegacyWebForms.Catalog.Details.btnEditPage,eShopLegacyWebForms.Catalog.Details,Field,7,1
eShopLegacyWebForms.Catalog.Details.product,eShopLegacyWebForms.Catalog.Details,Field,13,1
System.Web.UI.ScriptManager,System.Web.UI.ScriptManager,Type,1,1
eShopLegacyWebForms.Catalog.Details.InitializeComponent,eShopLegacyWebForms.Catalog.Details,Method,2,1
System.Web.UI.ScriptManager.ScriptResourceMapping,System.Web.UI.ScriptManager,Property,1,0
eShopLegacyWebForms.Services.CatalogServiceMock.ComposeCatalogItems.catalogBrands,eShopLegacyWebForms.Services.CatalogServiceMock.ComposeCatalogItems.catalogBrands,Type,1,1
System.Reflection.AssemblyTitleAttribute..ctor,System.Reflection.AssemblyTitleAttribute,Method,1,1
eShopLegacyWebForms.Home.___Build__Control7.BoundField,eShopLegacyWebForms.Home.___Build__Control7.BoundField,Type,3,1
System.Reflection.AssemblyConfigurationAttribute..ctor,System.Reflection.AssemblyConfigurationAttribute,Method,1,1
eShopLegacyWebForms.Models.CatalogType.Id,eShopLegacyWebForms.Models.CatalogType,Property,6,1
eShopLegacyWebForms.Models.CatalogType.Type,eShopLegacyWebForms.Models.CatalogType,Property,6,1
System.Web.UI.WebControls.Button..ctor,System.Web.UI.WebControls.Button,Method,5,1
System.Web.UI.WebControls.Button,System.Web.UI.WebControls.Button,Type,10,1
eShopLegacyWebForms.Services.CatalogService.UpdateCatalogItem.catalogItem,eShopLegacyWebForms.Services.CatalogService.UpdateCatalogItem.catalogItem,Type,1,1
eShopLegacyWebForms.Models.CatalogType,eShopLegacyWebForms.Models.CatalogType,Type,11,1
eShopLegacyWebForms.Models.CatalogType..ctor,eShopLegacyWebForms.Models.CatalogType,Method,4,1
System.Web.UI.WebControls.Button.Click,System.Web.UI.WebControls.Button,Event,10,1
System.Web.UI.WebControls.Button.Text,System.Web.UI.WebControls.Button,Property,10,1
System.Web.UI.WebControls.DataControlFieldCollection,System.Web.UI.WebControls.DataControlFieldCollection,Type,1,1
System.Web.UI.UserControl.Response,System.Web.UI.UserControl,Property,2,1
System.Web.UI.UserControl.Session,System.Web.UI.UserControl,Property,3,1
System.Web.UI.WebControls.DataControlFieldCollection.Add,System.Web.UI.WebControls.DataControlFieldCollection,Method,33,1
System.Web.UI.WebControls.DataControlField.HeaderText,System.Web.UI.WebControls.DataControlField,Property,4,1
eShopLegacyWebForms.Home.___Build__Control8.BoundField,eShopLegacyWebForms.Home.___Build__Control8.BoundField,Type,3,1
System.Web.UI.WebControls.TableItemStyle.HorizontalAlign,System.Web.UI.WebControls.TableItemStyle,Property,4,1
System.Web.UI.WebControls.TableItemStyle,System.Web.UI.WebControls.TableItemStyle,Type,3,1
eShopLegacyWebForms.Catalog.Delete.CatalogService,eShopLegacyWebForms.Catalog.Delete,Field,4,1
eShopLegacyWebForms.Catalog.Delete.imgPicture,eShopLegacyWebForms.Catalog.Delete,Field,5,1
eShopLegacyWebForms.Catalog.Delete.lblName,eShopLegacyWebForms.Catalog.Delete,Field,4,1
eShopLegacyWebForms.Catalog.Delete.lblDescription,eShopLegacyWebForms.Catalog.Delete,Field,5,1
